,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,rating
1519,Austria,"Lifted aloe vera notes and ripe Conference pears harmonize on the nose. The palate is sleek and sculptured by buffered acidity and a deeply satisfying core of rich, phenolic fruitiness. This convinces with absolute authenticity and an intriguing, almost primal edge of floral aromatics.",Kreimelberg Privat,92,,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Setzer 2012 Kreimelberg Privat Roter Veltliner (Niederösterreich),Roter Veltliner,Setzer,High
1520,US,"If a whiff of volatility doesn't turn you off, this tightly layered reserve from Hogue has a lot going for it. Gobs of cherry and cassis fruit, dense and deep, roll into veins of earth, olive and graphite. A big wine with plenty of life ahead.",Reserve,91,30.0,Washington,Wahluke Slope,Columbia Valley,Paul Gregutt,@paulgwine ,Hogue 2007 Reserve Cabernet Sauvignon (Wahluke Slope),Cabernet Sauvignon,Hogue,High
1521,South Africa,"This is a well-balanced, well-structured white wine that's sure to evolve through 2020, at least. It's certainly attractive now, with subtle toasty notes of sweet spice and wood-grilled apple alongside hints of kiwi, sweet grass, green plum and lime. The medium-weight palate offers ample acidity and a streak of minerality that keeps things fresh and lifted through the softly spiced finish.",Reserve,91,50.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Reyneke 2013 Reserve Sauvignon Blanc (Stellenbosch),Sauvignon Blanc,Reyneke,High
1522,France,"A pure, clean mineral-driven Champagne. It's very crisp, with a chalky texture, flavors of green apples and tight acidity. It's one of those Champagnes that needs time in the glass, because as it opens the flavors become more complex, bringing out yellow fruits as well as the underlying citrus.",Extra Blanc de Blancs Brut,91,65.0,Champagne,Champagne,,Roger Voss,@vossroger,Jean-Noël Haton 2005 Extra Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Jean-Noël Haton,High
1523,France,"Firmly tannic and concentrated, this wine demonstrates how this property has developed impressively in recent years. It is certainly powerful, although managing to retain the Saint-Julien elegance. The blackberry fruits will develop well as it matures. Drink from 2024.",,93,45.0,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château Langoa Barton 2014  Saint-Julien,Bordeaux-style Red Blend,Château Langoa Barton,High
1524,US,"This bottling shows touches of smoke, flint, Meyer lemon peel, honeysuckle and crisp jicama on the nose. A hint of ripe nectarine kicks off the palate before its knee-buckling acidity takes hold, bringing forth lemon peel, lime juice and more honeysuckle elements.",,94,35.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Center of Effort 2013 Chardonnay (Edna Valley),Chardonnay,Center of Effort,High
1525,France,"Rich, full of citrus and ripe apple flavors, this is a sophisticated wine. The mineral texture and the dense fruit flavors offer a delicious take on Sauvignon Blanc, giving complexity and ripeness. Drink this wine from 2018.",La Terre des Anges,91,25.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Domaine Laporte 2016 La Terre des Anges  (Sancerre),Sauvignon Blanc,Domaine Laporte,High
1526,France,"Barrel fermentation and aging have given this wine its ripe character. They have filled it out with spiciness, adding complexity to the yellow fruit and maturing acidity. It's not going to age much further but is very fine to drink now.",,93,200.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Nicolas Potel 2012  Corton-Charlemagne,Chardonnay,Nicolas Potel,High
1527,Italy,"Ripe blackberry, crushed plum, black raspberry, sweet baking spices, orange zest and dark chocolate are some of the aromas and flavors you'll find on this creamy, full-bodied blend of Petit Verdot, Cabernet Franc and Cabernet Sauvignon.  Velvety tannins provide the smooth texture and framework. Enjoy through 2020.",Monteti,94,36.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Tenuta Monteti 2010 Monteti Red (Toscana),Red Blend,Tenuta Monteti,High
1528,France,"94–96. Barrel sample. A very fine, concentrated wine. Full of solid black fruits and tannins, it's seriously powerful, driven by its great fruits and intense mineral texture. For long-term aging.",Barrel Sample,95,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Vieux Château Mazerat 2012 Barrel Sample  (Saint-Émilion),Bordeaux-style Red Blend,Vieux Château Mazerat,High
1529,France,"Soft and generous fruit, its tannins enveloped by a warm and ripe juicy fruit layer. The wine is already delicious, showing sweet tannins and a subtle touch of wood.",,91,,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château La Grave à Pomerol 2009  Pomerol,Bordeaux-style Red Blend,Château La Grave à Pomerol,High
1530,France,"One of Faiveley's monopoles (wholly owned vineyards), Clos des Cortons makes powerful wines. That's the case in 2005. This wine towers up, a strong edifice of tannins and big, black fruits. It has all the right elements coming into place, along with weight and some elegance.",Clos des Cortons,95,195.0,Burgundy,Corton,,Roger Voss,@vossroger,Faiveley 2005 Clos des Cortons  (Corton),Pinot Noir,Faiveley,High
1531,Germany,"Ginger and saffron intensify the spicy mineral-toned complexities of this gorgeously silky nectar. It's lusciously fruity as well though, boasting cutting white grapefruit and lemon flavors that penetrate through a long, tea-stained finish. Drinks beautifully now but should only intensify through 2024.",Wehlener Sonnenuhr Auslese Grosse Lage,91,43.0,Mosel,,,Anna Lee C. Iijima,,S.A. Prüm 2014 Wehlener Sonnenuhr Auslese Grosse Lage Riesling (Mosel),Riesling,S.A. Prüm,High
1532,Italy,"Ser Gioveto is 80% Sangiovese with small additions of Cabernet Sauvignon and Merlot. It has a deeply saturated ruby color and compelling aromas of ripe fruit, strawberry, rum cake and soft spice. There's a jammy accent in the bouquet that gives momentum to its rich, velvety mouthfeel.",Ser Gioveto,91,50.0,Tuscany,Toscana,,,,Rocca delle Macìe 2008 Ser Gioveto Red (Toscana),Red Blend,Rocca delle Macìe,High
1533,France,"92-94 Spice and mint aromas with blackberry fruit, new wood and a polished character. The acidity is delicious, refreshing.",Barrel sample,93,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Faugères 2010 Barrel sample  (Saint-Émilion),Bordeaux-style Red Blend,Château Faugères,High
1534,US,"Blackberry, charred sage, beef crust and cedar notes introduce this blend of 48% Merlot, 37% Cabernet Sauvignon, 13% Petit Verdot and 2% Cabernet Franc. It's lively on the palate, with a lingering finish of dried cherries.",,92,40.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Robert Hall 2012 Meritage (Paso Robles),Meritage,Robert Hall,High
1535,US,"Tangent makes the best, most consistent unoaked Sauvignon Blanc in California. The 2009 is another classic, offering brilliantly clean, crisp flavors of citrus fruits, green apples and gooseberries. Just beautiful.",Paragon Vineyard,91,13.0,California,Edna Valley,Central Coast,,,Tangent 2009 Paragon Vineyard Sauvignon Blanc (Edna Valley),Sauvignon Blanc,Tangent,High
1536,France,"The white wines of Pernand-Vergelesses have managed to preserve a cool, crisp character even in warm 2015. This wine has the citrus well to the fore along with flavors of wood aging and spice. It is tangy and mineral, with a bright textured aftertaste. Drink from 2020.",Sous Frétilles Premier Cru,92,90.0,Burgundy,Pernand-Vergelesses,,Roger Voss,@vossroger,Arnaud Baillot 2015 Sous Frétilles Premier Cru  (Pernand-Vergelesses),Chardonnay,Arnaud Baillot,High
1537,Lebanon,"Violet red to the eye, this wine is a blend of 55% Syrah, 35% Cabernet Sauvignon and 10% Merlot. A nose of black cherry and violet prepares the palate for flavors of cassis, cherry conserves, orange zest, licorice and tobacco. Fruit and spice flavors keep each other in check amid velvety tannins. The smooth cherry finish is highlighted by touches of orange zest.",El,91,75.0,Lebanon,,,Mike DeSimone,@worldwineguys,Ixsir 2011 El Red (Lebanon),Red Blend,Ixsir,High
1538,Argentina,"Fabre Montmayou has excelled in the value department, but this higher-end Patagonian Malbec signals a new benchmark for this French-owned winery. This is dark and inky, with a crusty, blackened essence. Ripe black-fruit flavors come with chocolate, spice and licorice accents that run through a long, generous finish.",H.J. Fabre Barrel Selection,91,23.0,Other,Patagonia,,Michael Schachner,@wineschach,Fabre Montmayou 2012 H.J. Fabre Barrel Selection Malbec (Patagonia),Malbec,Fabre Montmayou,High
1539,US,"At nearly 10 years of age, this beautiful Gewürz shows how well a good California dessert wine can age. It's still brisk in clean acidity, but is honeyed and sweet, with nearly 19% residual sugar. Shows rich, exotic pineapple, tangerine marmalade, gingerbread, apricot jam, buttered toast, crème brûlée, vanilla cream and spice flavors, leading to a long, deliriously delicious finish. A heady, flamboyantly sweet wine to drink now.",Late Harvest Alisos Vineyard,95,50.0,California,Santa Barbara County,Central Coast,,,Nicolaysen Family Vineyards 2001 Late Harvest Alisos Vineyard Gewürztraminer (Santa Barbara County),Gewürztraminer,Nicolaysen Family Vineyards,High
1540,US,Intensely ripe and concentrated fruit flavors dominate both the aromas and flavors of this very full-bodied but ultrasmooth wine. Light notes of dried sage and cinnamon dust the blackberry jam and candied-strawberry flavors for a nuanced complexity despite the high alcohol and supreme ripeness.,,92,39.0,California,Red Hills Lake County,,Jim Gordon,@gordone_cellars,Sol Rouge 2013 Zinfandel (Red Hills Lake County),Zinfandel,Sol Rouge,High
1541,US,"The Vineyard Select is made only on occasion. As in 2006, the cuvée includes a splash of Petit Verdot. From the extraordinary 2007 vintage, this wine has it all: depth, polish and panache. The richly fruity nose brings on the berries and cherries; they fill the palate and add layers of fig, plum, chocolate and coconut.",Vineyard Select,93,48.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Walla Walla Vintners 2007 Vineyard Select Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Walla Walla Vintners,High
1542,US,"Aratás puts more bottle age on their Petite Sirah than most, and the extra maturity shows. Wonderful oak spices fill the aroma and extend into the fully ripe and richly fruity flavors of this big but beautifully sculpted wine. It has a lot of new oak influence and that is perfect to match the big body and monumental tannins that give the wine such impact.",Shake Ridge Ranch,93,52.0,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Aratás 2012 Shake Ridge Ranch Petite Sirah (Amador County),Petite Sirah,Aratás,High
1543,US,"Juicy strawberry and red plum aromas meet cinnamon, sassafras and earthy scents in this bottling from winemaker Colin Murphy. Beautiful layers of sour cherry combine with dried fennel, wild mint, thyme and rose petal flavors on the palate, which finishes clean and crisp.",,93,30.0,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Koehler 2014 Grenache (Santa Ynez Valley),Grenache,Koehler,High
1544,France,"Great style here, a wine that sums up the white 2007 vintage's freshness well. On that is built a discreet structure of yellow fruits, pears, kiwi and spice from wood. Behind is the fresh herbaceous acidity of young Sémillon. Age for 2–3 years.",,91,25.0,Bordeaux,Graves,,Roger Voss,@vossroger,Château Villa Bel Air 2007  Graves,Bordeaux-style White Blend,Château Villa Bel Air,High
1545,France,"From the privileged soil of St.-Julien, this is an opulently rich wine. The weight is obvious as is the sweet fruit. But there is complexity as well, spice and black currant fruit powerful and concentrated. For long-term aging.",,92,,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château du Glana 2008  Saint-Julien,Bordeaux-style Red Blend,Château du Glana,High
1546,New Zealand,"This is a big, rich style of Pinot, with toast, vanilla and bacon marking the nose. While the palate delivers more black cherry fruit, it still remains savory overall. It's slightly chewy on the finish, so drink 2017–2025.",Rachel,92,55.0,Marlborough,,,Joe Czerwinski,@JoeCz,Seresin 2012 Rachel Pinot Noir (Marlborough),Pinot Noir,Seresin,High
1547,Germany,"Layers of crisp nectarine, lime and tangerine burst from nose and palate of this vibrant Kabinett. While sweetly honeyed, it's a wine with precision, calibrated by zesty acidity and elegant crushed-mineral tones. Its lovely already but should maintain its intensity through 2021.",Erdener Treppchen Kabinett,91,25.0,Mosel,,,Anna Lee C. Iijima,,Dr. Hermann 2015 Erdener Treppchen Kabinett Riesling (Mosel),Riesling,Dr. Hermann,High
1548,France,"This is a textured wine with ripe and perfumed fruitiness. Honeyed in style and medium-sweet on the palate, it's a complex, rich wine that's ready to drink now, but could also improve with age.",Steinert Grand Cru,92,28.0,Alsace,Alsace,,Roger Voss,@vossroger,Rieflé 2010 Steinert Grand Cru Pinot Gris (Alsace),Pinot Gris,Rieflé,High
1549,France,The wine is dense with fine concentration and a solid dry tannin character at the back. It is full of black fruits and balanced acidity. Its richness reflects the quality of the vintage and its aging potential. Drink from 2022.,Les Chaillots Premier Cru,92,80.0,Burgundy,Aloxe-Corton,,Roger Voss,@vossroger,Louis Latour 2015 Les Chaillots Premier Cru  (Aloxe-Corton),Pinot Noir,Louis Latour,High
1550,US,"A very nice Chardonnay that has the dusty, herbal tug that Napa Chards often display. Otherwise it's very rich, with potent pineapple pie and peach tart flavors, enriched with creamy lees and buttery new oak. Drink now–2012.",,92,70.0,California,Napa Valley,Napa,,,Pahlmeyer 2007 Chardonnay (Napa Valley),Chardonnay,Pahlmeyer,High
1551,Austria,"An intense flavor of cinnamon- and pepper-dusted red cherries pervades nose and palate, with additional notes of white pepper spice. There is an ever so slight tannic grip, like the touch of a kitten's paw. The purity of the red cherry fruit soars with every sip and the overall picture is one of full-flavored, enticing but slender joy. This is just how Zweigelt should be.",Rubin,92,25.0,Carnuntum,,,Anne Krebiehl MW,@AnneInVino,Netzl 2014 Rubin Zweigelt (Carnuntum),Zweigelt,Netzl,High
1552,US,"A fresh-baked bread aroma and flavors like butter and baking spices make this full-bodied wine very attractive. It has ample acidity to balance the rich texture, and a lingering finish that completes the classic profile.",Pahlmeyer,91,50.0,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,Jayson 2013 Pahlmeyer Chardonnay (North Coast),Chardonnay,Jayson,High
1553,US,"Ripeness marks this Pinot. It floods the mouth with jammy raspberries and cherries, brightened with acidity. Seems a bit straightforward by virtue of sheer dazzle, but it is a superb example of the Santa Rita Hills, at a good price.",Verna's Estate,93,26.0,California,Santa Barbara County,Central Coast,,,Melville 2010 Verna's Estate Pinot Noir (Santa Barbara County),Pinot Noir,Melville,High
1554,Austria,"Just-ripe green pears and scented spring flowers make this a charming proposition. Underneath, a firm and concentrated body unfolds into a refreshing and long finish.",Wahre Werte Reserve,92,26.0,Kamptal,,,Anne Krebiehl MW,@AnneInVino,Weixelbaum 2012 Wahre Werte Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Weixelbaum,High
1555,US,"This bottling from an iconic vineyard is subtle yet steady on the nose, with cinnamon and nutmeg spice giving character to a red-cherry base. The vibrant palate keeps the mouth watering, showing clove and more nutmeg atop sharper cranberry and warmer cherry fruit tones.",Talley Rincon,91,65.0,California,Arroyo Grande Valley,Central Coast,Matt Kettmann,@mattkettmann,Tantara 2014 Talley Rincon Pinot Noir (Arroyo Grande Valley),Pinot Noir,Tantara,High
1556,US,"This blend of Cabernet Sauvignon, Petit Verdot and Cabernet Franc shows all the charms of the 2007 vintage. It's an opulent, delicious wine, immediately likeable now for its broad array of blackberry, cherry, raspberry, mocha, cassis and new oak flavors. The tannins are soft, but strong enough to protect this wine for the next six years at the very least.",Elivette,94,125.0,California,Spring Mountain District,Napa,,,Spring Mountain Vineyard 2007 Elivette Red (Spring Mountain District),Bordeaux-style Red Blend,Spring Mountain Vineyard,High
1557,France,"92-94 A hugely fruity wine, very rich, concentrated and dense. It has great power and richness, the berry fruits racing with ripeness.",Barrel sample,93,,Bordeaux,Pauillac,,Roger Voss,@vossroger,Château Fonbadet 2010 Barrel sample  (Pauillac),Bordeaux-style Red Blend,Château Fonbadet,High
1558,US,"An extraordinarily elegant wine that will satisfy diehard Burgundians as well as fans of sweeter, riper Pinot Noir. It's generous in cherries, raspberries, chocolate and smoky sandalwood, yet shows a mushroomy earthiness that adds rich complexity. It will not be surprising if this delicious wine ages well for at least six years.",Londer Vineyard,93,50.0,California,Anderson Valley,,,,Davies 2009 Londer Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Davies,High
1559,South Africa,"Layers of cherry, currant and herbs give this fresh Cab an elegant but earthy feel. A lovely balance of fruit and acid, topped with supple and structured tannins, add to the success. Very pretty and collectible.",Twin Peak Vineyards Unfined and Unfiltered,91,42.0,Jonkershoek Valley,,,Susan Kostrzewa,@suskostrzewa,Stark-Condé 2005 Twin Peak Vineyards Unfined and Unfiltered Cabernet Sauvignon (Jonkershoek Valley),Cabernet Sauvignon,Stark-Condé,High
1560,France,"This wine is already well balanced. Ripe strawberries and red cherries are shot through with the acidity of the vintage. The tannins are present, complementing the already attractive fruits. The aftertaste shows the considerable potential with its tannins. Drink from 2020.",Les Cazetiers Premier Cru,94,145.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Domaine Faiveley 2014 Les Cazetiers Premier Cru  (Gevrey-Chambertin),Pinot Noir,Domaine Faiveley,High
1561,Germany,"This dainty off-dry Riesling is marked by aromas—ripe stone fruit and florals against a backdrop of tea leaves and crushed minerals. On the palate, it's intensely juicy, with flavors of orange, mango and peach, but with a streak of acidity that ripples the tongue.",Ayler Kupp Kabinett,91,23.0,Mosel,,,Anna Lee C. Iijima,,Bischöfliche Weingüter Trier 2012 Ayler Kupp Kabinett Riesling (Mosel),Riesling,Bischöfliche Weingüter Trier,High
1562,Germany,"Rich, ruddy peach and tangerine scents are fleshy and ripe on this lavishly fruit-forward Riesling. Semi-sweet in style, it's unctuously juicy, but a jolt of grapefruit acidity adds balance and vibe. The finish is marked with a spray of citrus blossom.",Leiwener Laurentiuslay Erste Lage Spätlese,91,55.0,Mosel,,,Anna Lee C. Iijima,,St. Urbans-Hof 2012 Leiwener Laurentiuslay Erste Lage Spätlese Riesling (Mosel),Riesling,St. Urbans-Hof,High
1563,US,"The best blend from JM Cellars is Tre Fanciulli, here composed of 67% Cabernet Sauvignon, 19% Merlot, and 14% Syrah. You'll find pleasing strawberry and Bing cherry fruit, along with claret-like structure and nicely applied cinnamon and baking spice accents. It could almost fool you into thinking you were drinking an excellent Dry Creek Zinfandel.",Tre Fanciulli,91,42.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,JM Cellars 2007 Tre Fanciulli Red (Columbia Valley (WA)),Red Blend,JM Cellars,High
1564,US,"A laser-focused nose of lime zest, limestone and a hint of orange blossom characterize this very refreshing sparkler. The bubbles dance across the tongue with lean, not lush flavors of orange peel and squeezed citrus.",Brut de Blancs,91,30.0,California,Arroyo Grande Valley,Central Coast,Matt Kettmann,@mattkettmann,Laetitia 2011 Brut de Blancs Sparkling (Arroyo Grande Valley),Sparkling Blend,Laetitia,High
1565,US,"Black color shows a depth of extraction in this earthy, burly wine. It reveals layers of leather, cedar and tobacco most, with a billowy tannin structure providing a foundation for additional elements of meaty black fruit and graphite.",Neyers Ranch Conn Valley,92,60.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Neyers 2013 Neyers Ranch Conn Valley Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Neyers,High
1566,France,"Rich as well as tannic, this is concentrated, with dense fruits and sweet acidity. Its structure offers good aging as well as pleasurable fruit now.",Château du Grand Pré,91,,Beaujolais,Fleurie,,Roger Voss,@vossroger,Georges Duboeuf 2009 Château du Grand Pré  (Fleurie),Gamay,Georges Duboeuf,High
1567,US,"To tame Durell is no easy feat—indeed at first this wine exudes matchstick and robustness on the nose and palate. But tameness comes in the form of lemon and grapefruit pith, brightening the load, with a sinewy structure supporting its core. The finish is succulent in honey and stone. Drink now through 2020.",Durell Vineyard,96,55.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Gary Farrell 2013 Durell Vineyard Chardonnay (Sonoma Valley),Chardonnay,Gary Farrell,High
1568,US,"This has been a remarkably consistent bottling from Benovia over the last several vintages. The wine is bone dry and zesty in acidity, with rich layers of raspberries, cranberries and persimmons. Tannic notes of dried tea leaf and exotic baking spices bring extra complexities to this ageworthy wine. Drink 2015–2020.",La Pommeraie,92,56.0,California,Russian River Valley,Sonoma,,,Benovia 2011 La Pommeraie Pinot Noir (Russian River Valley),Pinot Noir,Benovia,High
1569,US,"This is a robustly built, densely packed and velvety wine with smooth layers of integrated oak. Tannins provide the power and foundation behind its crisp blue fruit and dried herb flavors, seasoned with cola and black pepper spice.",Hirsch Vineyard,92,65.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,FEL 2014 Hirsch Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,FEL,High
1570,France,"A densely tannic wine that is showing fine aging potential. It is well endowed with weight, acidity and ripe black currant fruits. With the rich fruit that opens slowly in the mouth, it has a fine combination of sweetness and structure. Age for 5–6 years.",,91,80.0,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Haut Breton Larigaudière 2009  Margaux,Bordeaux-style Red Blend,Château Haut Breton Larigaudière,High
1571,Spain,"Pointy, pinched black-fruit aromas come with complex notes of graphite, tobacco, tree bark and horse hide. A young, fierce palate is tannic like sandpaper, while roasted blackberry flavors are backed by savory spice notes and wood grain. Big, lusty flavors of coffee, mocha and toast unfold on the finish, which is everlasting. Drink 2018–2028.",,93,110.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Alion 2012  Ribera del Duero,Tempranillo,Alion,High
1572,US,"From the estate vineyard of a winery founded in 1994 by Silicon Valley mogul TJ Rodgers of Cypress Semiconductor, the grapes must be picked by a special tractor-on-wires because they are so steeply planted. Like the other 2009s, this Pinot Noir is characterized by strong tannins, meaning that it will last. Unlike the others, this one boats a more mushroom-driven nose between shiitake and porcini, with a touch of mocha. The palate reveals caramelized raspberry, graphite and silty flavors.",Domaine Lois Louise Cote Sud,91,62.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Clos de la Tech 2009 Domaine Lois Louise Cote Sud Pinot Noir (Santa Cruz Mountains),Pinot Noir,Clos de la Tech,High
1573,US,"This engaging, multilayered, flavorful and nuanced wine has subtle aromas like black pepper and grilled meat. Flavors suggest ripe Bing cherries and blackberries, while the seductive mouthfeel is rich and velvety. Aged 20 months in American oak barrels, the wine has great structure and will improve through at least 2020.",Reserve,93,29.0,California,Livermore Valley,Central Coast,Jim Gordon,@gordone_cellars,Ruby Hill Winery 2012 Reserve Petite Sirah (Livermore Valley),Petite Sirah,Ruby Hill Winery,High
1574,Austria,"A cloud of otherworldly flavors enters the brain: candied pineapple, vanilla, candied peach, caramel, Mirabelle and a touch of honey. The palate presents viscous sweetness, pierced by fresh acidity that explodes completely. This is a pure, rich and aromatic Eiswein of Austria's flagship variety. Delicious now, it should cellar well through at least 2040.",Eiswein,96,45.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Schloss Gobelsburg 2015 Eiswein Grüner Veltliner (Niederösterreich),Grüner Veltliner,Schloss Gobelsburg,High
1575,US,"The vineyard is in the cooler Green Valley, although you wouldn't know it from the label. The wine shows considerable crispness and dryness, with moderate alcohol. There are some tabasco and balsam notes grounding the richer cherry and sandalwood flavors. It's enormously elegant, a smooth, complex, silky Pinot Noir that should develop through the next six years.",La Masía Don Miguel Vineyard,93,45.0,California,Russian River Valley,Sonoma,,,Marimar Estate 2007 La Masía Don Miguel Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Marimar Estate,High
1576,France,"From one of the top Premier Cru vineyards in Beaune, this structured wine shows concentration and richness. Packed with tannins in its center, it is cushioned by the generous red berry and cherry fruits. The wine has a finely perfumed aftertaste. Drink from 2018.",Grèves Premier Cru,93,57.0,Burgundy,Beaune,,Roger Voss,@vossroger,Alex Gambal 2013 Grèves Premier Cru  (Beaune),Pinot Noir,Alex Gambal,High
1577,US,"This bold, densely flavored and impressively tannic wine is dry, very well structured and will be interesting to age until 2018–2019. It smells darkly fruity, smoky and spicy, and tastes like cranberry and black cherry, finishing with a firm tang of tannin. It will be best after 2018.",,91,30.0,California,Lake County,,Jim Gordon,@gordone_cellars,Buck Shack 2013 Red (Lake County),Red Blend,Buck Shack,High
1578,US,"Airy and creamy aromas of sliced pluot, Asian pear, fresh orange rind and a touch of wet bread make for a compelling and zesty bubbly. The sip starts with a citrusy tang, continues with riper flashes of nectarine on the midpalate and shows a yeasty wash throughout. There's serious textural grip to the palate.",Brut Cuvée,91,65.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Presqu'ile 2012 Brut Cuvée Sparkling (Santa Maria Valley),Sparkling Blend,Presqu'ile,High
1579,US,"Sichuan pepper and sultry mulberry aromas meet with seaweed and iodine aromas on the nose of this bottling. Deep strawberry fruit melds with black sage, licorice, mint, and slate-like minerality on the palate.",,93,30.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Wild Hogge 2012 Pinot Noir (Paso Robles),Pinot Noir,Wild Hogge,High
1580,Australia,"With a mere 422 bottles produced, this review is barely more than academic, as it will be near impossible to track down some of this. Lucky/persistent lotto winners will experience a medium- to full-bodied red with a velvety mouthfeel, cassis, vanilla and cedar notes and something akin to charred tomato.",,91,250.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Cloudburst 2012 Malbec (Margaret River),Malbec,Cloudburst,High
1581,Australia,"A venture into the deep end of pricing perhaps, but the proof is in the bottle. From vines planted in 1964, this is a rich, full-bodied and creamy-textured wine, with complex notes of smoke, vanilla, plum and roasted meat. Approachable now because of its lushness, it should drink well for at least the next several years.",Warboys Vineyard,93,65.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,Angove 2010 Warboys Vineyard Grenache (McLaren Vale),Grenache,Angove,High
1582,US,"Showing a flavor concentration unusual in California Chardonnay, this mountain wine is massive in baked tropical mango, guava and peach flavors, even a decadent taste of ripe bananas sautéed in butter and spiced with cinnamon, cloves and gingersnap cookie. It's also rich in smoky, caramelized oak, yet there's a firm backbone of minerals that, together with crisp acids, gives the wine structure.",Red Point,94,42.0,California,Alexander Valley,Sonoma,,,Stonestreet 2006 Red Point Chardonnay (Alexander Valley),Chardonnay,Stonestreet,High
1583,US,"All Leonetti wines are 100% estate-grown fruit, mixing Seven Hills, Mill Creek Upland and Loess vineyard grapes. The 2010 Cabernet Sauvignon includes 12% Merlot, 8% Petit Verdot and 4% Carmenère in the blend. Young and chewy, with a hint of herbaceousness, this shows lovely balance and a mix of raspberry, black cherry, cassis, coffee and cacao. It's a young, deep and powerful wine that will certainly reward cellaring.",,94,90.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Leonetti Cellar 2010 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Leonetti Cellar,High
1584,Italy,"Carmione is a 50-10-40 blend of Cabernet Sauvignon, Cabernet Franc and Merlot that opens with a bright bouquet of wild spice, black fruit, prune, plum and rum cake. The wine is dense and dark with a thick, almost gritty feel in the mouth. This is a bruiser that would pair with mesquite-grilled ribeye steak.",Carmione,92,30.0,Tuscany,Toscana,,,,Pratesi 2006 Carmione Red (Toscana),Red Blend,Pratesi,High
1585,US,"The flavors run as deep as the dark garnet color in this full-bodied but sophisticated wine. Aromas trigger black cherry, subtle spicy oak and a walk in the forest, while the fruit flavors are ripe and delicious. The texture is like velvet—smooth but not slick. The complexity and inherent richness of flavor seem to increase with each sip, and it has firm acidity and tannins to cleanse the palate.",Single Vineyard,94,72.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Donum 2012 Single Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Donum,High
1586,US,"Great fruit flavors and a lively, fresh texture come together for a very well-balanced and vivid-tasting wine. Just enough tannin and grape acidity provide an agile, appetizing structure to let the fresh red and black cherry notes stand out. Fermented with native yeast and aged in neutral barrels., it will be best after 2018.",Manchester Ridge Vineyard,92,68.0,California,Mendocino Ridge,,Jim Gordon,@gordone_cellars,Red Car 2013 Manchester Ridge Vineyard Pinot Noir (Mendocino Ridge),Pinot Noir,Red Car,High
1587,US,"A rich, brisk and complex Chardonnay that shows cool-climate structure and the ripe fruit that comes from a good vintage and great viticulture, in a difficult growing region. The pineapple, pear and golden mango flavors are enriched with lots of smoky, buttery oak, and offset with crisp acidity. Decadent and delicious.",Paraiso Vineyard,92,40.0,California,Santa Lucia Highlands,Central Coast,,,Bernardus 2008 Paraiso Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Bernardus,High
